City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaqortoq,60.7167,-46.0333,4.98,70,100,1.65,GL,1714061808
1,newnham,-41.3833,147.1333,5.93,87,5,0.0,AU,1714061809
2,wailua homesteads,22.0669,-159.378,22.44,84,100,7.72,US,1714061810
3,paita,-5.0892,-81.1144,24.82,69,35,3.81,PE,1714061813
4,bethel,41.3712,-73.414,12.53,34,0,2.57,US,1714061801
5,bandarbeyla,9.4942,50.8122,29.26,73,90,4.36,SO,1714061815
6,puerto natales,-51.7236,-72.4875,6.25,93,75,4.12,CL,1714061781
7,khorixas,-20.3667,14.9667,33.53,10,0,1.59,,1714061819
8,anadyr,64.75,177.4833,-0.72,93,75,4.0,RU,1714061820
9,arraial do cabo,-22.9661,-42.0278,26.92,78,40,5.14,BR,1714061714
10,ushuaia,-54.8,-68.3,6.79,81,75,7.2,AR,1714061528
11,letterkenny,54.95,-7.7333,9.94,53,56,4.6,IE,1714061824
12,grytviken,-54.2811,-36.5092,-0.91,65,31,2.96,GS,1714061826
13,turinsk,58.0458,63.696,1.16,97,100,2.81,RU,1714061827
14,port-aux-francais,-49.35,70.2167,4.81,72,17,5.52,TF,1714061828
15,yellowknife,62.456,-114.3525,0.79,96,100,5.66,CA,1714061829
16,ambato,-1.2491,-78.6168,19.22,72,75,1.54,EC,1714061831
17,saint-pierre,-21.3393,55.4781,25.82,78,40,1.03,RE,1714061832
18,tiksi,71.6872,128.8694,-13.84,92,99,5.54,RU,1714061833
19,nyurba,63.2842,118.3319,-13.69,99,95,1.39,RU,1714061835
20,kavaratti,10.5669,72.642,29.8,72,90,3.64,IN,1714061836
21,saipan,15.1355,145.701,27.39,78,40,4.63,MP,1714061837
22,waitangi,-43.9535,-176.5597,15.46,92,100,3.58,NZ,1714061838
23,buchach,49.0625,25.388,9.74,75,100,4.38,UA,1714061840
24,port elizabeth,-33.918,25.5701,18.94,82,0,9.77,ZA,1714061841
25,dul'durga,50.6761,113.5931,0.3,57,14,3.72,RU,1714061842
26,utrik,11.2278,169.8474,26.68,76,95,9.4,MH,1714061844
27,calca,-13.3333,-71.95,21.64,41,100,1.22,PE,1714061845
28,invercargill,-46.4,168.35,5.01,90,100,4.47,NZ,1714061846
29,ribeira grande,38.5167,-28.7,19.22,63,40,3.58,PT,1714061847
30,sao gabriel da cachoeira,-0.1303,-67.0892,30.89,62,0,4.12,BR,1714061848
31,adamstown,-25.066,-130.1015,23.18,90,7,8.82,PN,1714061850
32,moses lake,47.1301,-119.2781,12.38,66,0,4.63,US,1714061851
33,palangkaraya,-2.2,113.8333,25.66,86,100,1.14,ID,1714061852
34,constantia,44.1833,28.65,17.61,75,100,2.88,RO,1714061853
35,aland,17.5667,76.5667,36.06,19,56,5.91,IN,1714061855
36,mozarlandia,-14.7447,-50.5706,32.79,50,4,1.42,BR,1714061856
37,mora,11.0461,14.1401,41.75,8,70,4.34,CM,1714061857
38,edinburgh of the seven seas,-37.0676,-12.3116,18.31,87,77,13.56,SH,1714061859
39,jamestown,42.097,-79.2353,9.18,47,0,3.09,US,1714061728
40,usinsk,65.9939,57.5281,-1.63,83,100,3.13,RU,1714061862
41,albany,42.6001,-73.9662,9.21,36,0,1.34,US,1714061095
42,ubari,26.5921,12.7805,31.21,11,0,3.18,LY,1714061865
43,kununurra,-15.7667,128.7333,26.99,50,75,4.12,AU,1714061866
44,carnarvon,-24.8667,113.6333,25.06,56,2,7.34,AU,1714061867
45,saint-denis,48.9167,2.3333,13.97,35,0,4.12,FR,1714061868
46,kingston,17.997,-76.7936,33.98,58,20,5.14,JM,1714061763
47,ar rass,25.8694,43.4973,30.68,9,23,3.31,SA,1714061871
48,soio,-6.1349,12.3689,28.31,78,94,3.01,AO,1714061872
49,puerto ayora,-0.7393,-90.3518,28.98,95,60,2.24,EC,1714061874
50,narimanov,46.6927,47.8498,17.95,34,28,4.51,RU,1714061795
51,new norfolk,-42.7826,147.0587,10.72,84,98,1.33,AU,1714061877
52,rurrenabaque,-14.4413,-67.5278,31.83,74,40,1.54,BO,1714061878
